tokens,clean_text,stemmed_tokens,stemmed_text
"['orng', 'jumbo', 'overrated', 'ah', 'blm', 'nonton', 'ih', 'support', 'film', 'animasi', 'indonesia', 'tuh', 'terbaik', 'asia', 'tenggara', 'loh', 'orng', 'langsung', 'diem', 'kicep', 'misuh', 'hati', 'bodoh', 'tong', 'kosong', 'emang', 'nyaring', 'bunyinya']",orng jumbo overrated ah blm nonton ih support film animasi indonesia tuh terbaik asia tenggara loh orng langsung diem kicep misuh hati bodoh tong kosong emang nyaring bunyinya,"['orng', 'jumbo', 'overrated', 'ah', 'blm', 'nonton', 'ih', 'support', 'film', 'animasi', 'indonesia', 'tuh', 'baik', 'asia', 'tenggara', 'loh', 'orng', 'langsung', 'diem', 'kicep', 'misuh', 'hati', 'bodoh', 'tong', 'kosong', 'emang', 'nyaring', 'bunyi']",orng jumbo overrated ah blm nonton ih support film animasi indonesia tuh baik asia tenggara loh orng langsung diem kicep misuh hati bodoh tong kosong emang nyaring bunyi
"['selamat', 'selamat', 'selamat', 'jumbo', 'berhasil', 'tembus', 'juta', 'penonton', 'film', 'animasi', 'terlaris', 'asia', 'tenggara', 'tinggal', 'selangkah', 'melampaui', 'frozen', 'sbg', 'film', 'animasi', 'terlaris', 'indonesia', 'sap', 'sap', 'sap']",selamat selamat selamat jumbo berhasil tembus juta penonton film animasi terlaris asia tenggara tinggal selangkah melampaui frozen sbg film animasi terlaris indonesia sap sap sap,"['selamat', 'selamat', 'selamat', 'jumbo', 'hasil', 'tembus', 'juta', 'tonton', 'film', 'animasi', 'laris', 'asia', 'tenggara', 'tinggal', 'selang', 'lampau', 'frozen', 'sbg', 'film', 'animasi', 'laris', 'indonesia', 'sap', 'sap', 'sap']",selamat selamat selamat jumbo hasil tembus juta tonton film animasi laris asia tenggara tinggal selang lampau frozen sbg film animasi laris indonesia sap sap sap
"['ribuan', 'penonton', 'jumbo', 'ngalahin', 'frozen', 'ii', 'film', 'animasi', 'terlaris', 'tayang', 'bioskop', 'indonesia']",ribuan penonton jumbo ngalahin frozen ii film animasi terlaris tayang bioskop indonesia,"['ribu', 'tonton', 'jumbo', 'ngalahin', 'frozen', 'ii', 'film', 'animasi', 'laris', 'tayang', 'bioskop', 'indonesia']",ribu tonton jumbo ngalahin frozen ii film animasi laris tayang bioskop indonesia
"['gokil', 'banget', 'nih', 'film', 'jumbo', 'udah', 'tembus', 'juta', 'maju', 'film', 'animasi', 'indonesia', 'congrats', 'film', 'jumbo']",gokil banget nih film jumbo udah tembus juta maju film animasi indonesia congrats film jumbo,"['gokil', 'banget', 'nih', 'film', 'jumbo', 'udah', 'tembus', 'juta', 'maju', 'film', 'animasi', 'indonesia', 'congrats', 'film', 'jumbo']",gokil banget nih film jumbo udah tembus juta maju film animasi indonesia congrats film jumbo
"['media', 'asing', 'soroti', 'film', 'jumbo', 'animasi', 'buatan', 'indonesia', 'fakta']",media asing soroti film jumbo animasi buatan indonesia fakta,"['media', 'asing', 'sorot', 'film', 'jumbo', 'animasi', 'buat', 'indonesia', 'fakta']",media asing sorot film jumbo animasi buat indonesia fakta
"['terharu', 'bangga', 'juta', 'secercah', 'harapan', 'kalo', 'film', 'animasi', 'penonton', 'indonesia', 'melaju', 'terussss', 'jumbo']",terharu bangga juta secercah harapan kalo film animasi penonton indonesia melaju terussss jumbo,"['haru', 'bangga', 'juta', 'cercah', 'harap', 'kalo', 'film', 'animasi', 'tonton', 'indonesia', 'laju', 'terussss', 'jumbo']",haru bangga juta cercah harap kalo film animasi tonton indonesia laju terussss jumbo
"['yes', 'tembus', 'penonton', 'senang', 'banget', 'gua', 'film', 'jumbo', 'rame', 'nonton', 'sukses', 'animasi', 'indonesia']",yes tembus penonton senang banget gua film jumbo rame nonton sukses animasi indonesia,"['yes', 'tembus', 'tonton', 'senang', 'banget', 'gua', 'film', 'jumbo', 'rame', 'nonton', 'sukses', 'animasi', 'indonesia']",yes tembus tonton senang banget gua film jumbo rame nonton sukses animasi indonesia
"['film', 'indonesia', 'jumbo', 'tercatat', 'film', 'animasi', 'produksi', 'asia', 'tenggara', 'terlaris', 'sejarah', 'pendapatan', 'us', 'juta', 'rp', 'miliar', 'tayang', 'bioskop', 'maret', 'deadline', 'hollywood']",film indonesia jumbo tercatat film animasi produksi asia tenggara terlaris sejarah pendapatan us juta rp miliar tayang bioskop maret deadline hollywood,"['film', 'indonesia', 'jumbo', 'catat', 'film', 'animasi', 'produksi', 'asia', 'tenggara', 'laris', 'sejarah', 'dapat', 'us', 'juta', 'rp', 'miliar', 'tayang', 'bioskop', 'maret', 'deadline', 'hollywood']",film indonesia jumbo catat film animasi produksi asia tenggara laris sejarah dapat us juta rp miliar tayang bioskop maret deadline hollywood
"['nonton', 'curicuri', 'ngeliatin', 'ngomentarin', 'adegannya', 'ketawa', 'berseru', 'kagum', 'kalo', 'udah', 'gede', 'bangga', 'bilang', 'film', 'tonton', 'bioskop', 'judulnya', 'jumbo', 'film', 'animasi', 'indonesia', 'terlaris']",nonton curicuri ngeliatin ngomentarin adegannya ketawa berseru kagum kalo udah gede bangga bilang film tonton bioskop judulnya jumbo film animasi indonesia terlaris,"['nonton', 'curicuri', 'ngeliatin', 'ngomentarin', 'adegan', 'ketawa', 'seru', 'kagum', 'kalo', 'udah', 'gede', 'bangga', 'bilang', 'film', 'tonton', 'bioskop', 'judul', 'jumbo', 'film', 'animasi', 'indonesia', 'laris']",nonton curicuri ngeliatin ngomentarin adegan ketawa seru kagum kalo udah gede bangga bilang film tonton bioskop judul jumbo film animasi indonesia laris
"['udah', 'nonton', 'jumbo', 'sebagus', 'plotnya', 'ngga', 'ribet', 'emang', 'segmennya', 'umur', 'visualnya', 'cakeppp', 'pake', 'banget', 'banget', 'animasi', 'anak', 'bangsa', 'banggakan', 'apapun', 'capai', 'layak', 'sungguh', 'gue', 'rugi', 'kalo', 'ngga', 'ngebuzz', 'film']",udah nonton jumbo sebagus plotnya ngga ribet emang segmennya umur visualnya cakeppp pake banget banget animasi anak bangsa banggakan apapun capai layak sungguh gue rugi kalo ngga ngebuzz film,"['udah', 'nonton', 'jumbo', 'bagus', 'plot', 'ngga', 'ribet', 'emang', 'segmen', 'umur', 'visual', 'cakeppp', 'pake', 'banget', 'banget', 'animasi', 'anak', 'bangsa', 'bangga', 'apa', 'capai', 'layak', 'sungguh', 'gue', 'rugi', 'kalo', 'ngga', 'ngebuzz', 'film']",udah nonton jumbo bagus plot ngga ribet emang segmen umur visual cakeppp pake banget banget animasi anak bangsa bangga apa capai layak sungguh gue rugi kalo ngga ngebuzz film
