Title,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Rumah 2 Lt Siap Huni Akses Dekat Mall dan RS di Cinere Bisa KPR J24942,2,2,,30 m²,50 m²,"Cinere, Depok",Rp 450 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LB 100 Akses Dekat Gerbang Tol Sawangan 4 Dibantu KPR J33986,3,2,,90 m²,100 m²,"Sawangan, Depok",Rp 920 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Asri 15 Menit ke Terminal Sawangan LT 143 Bebas Banjir J33968,4,3,,143 m²,100 m²,"Bojong Sari, Depok","Rp 2,21 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 1 Lt Minimalis 15 menit ke RSU Brawijaya Sawangan Bisa KPR J35097,3,2,,94 m²,60 m²,"Sawangan, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 13 Menit ke Citimall Cimanggis SHM Dibantu KPR J-36251,3,2,,72 m²,64 m²,"Cimanggis, Depok","Rp 1,11 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 100 Terawat 6 Menit ke RS Citra Medika Depok Siap Huni J33122,2,1,,100 m²,65 m²,"Cilodong, Depok",Rp 590 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Seken Strategis 3 Menit ke Gerbang Tol Kukusan 1 Siap Huni J35162,2,1,,65 m²,45 m²,"Beji, Depok",Rp 780 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Timur 5 menit ke RS Citra Medika Depok SHM Dibantu KPR J-36330,2,1,,96 m²,100 m²,"Sukmajaya, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Timur LT 121 SHM 11 Menit ke Gerbang Tol Sawangan 4 J-36161,2,1,,121 m²,45 m²,"Sawangan, Depok",Rp 940 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 15 Menit ke Stasiun Depok Baru 1 Lt Bebas Banjir J34022,2,1,,79 m²,54 m²,"Beji, Depok",Rp 920 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah SHM 2 Lt Hadap Timur 11 Menit ke RS Citra Medika Depok J34093,3,2,,84 m²,62 m²,"Cilodong, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Selatan dekat Trans Studio Mall Cibubur Dibantu KPR J-36262,2,1,,87 m²,45 m²,"Tapos, Depok",Rp 870 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis 17 Menit ke Gerbang Tol Sawangan 4 Dibantu KPR J35197,2,1,,87 m²,48 m²,"Sawangan, Depok",Rp 640 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Terawat SHM 5 Menit ke Gerbang Tol Kukusan 1 Siap KPR J24917,3,2,,104 m²,190 m²,"Beji, Depok","Rp 2,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 124 SHM Siap KPR 15 menit ke The Park Sawangan J-26038,2,1,,124 m²,100 m²,"Sawangan, Depok","Rp 1,44 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah Luas Strategis 10 Menit ke Gerbang Tol Brigif Dibantu KPR J34782,3,3,,194 m²,143 m²,"Beji, Depok","Rp 2,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Luas 4 Kamar 6 menit ke RS Citra Medika Depok Siap Huni J33274,4,3,,200 m²,210 m²,"Cilodong, Depok","Rp 2,21 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lantai Bagus Baru Punya 3 KT di Sawangan Depok,3,2,1,60 m²,60 m²,"Sawangan, Depok","Rp 1,3 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lantai Di Juanda Sukmajaya Depok,3,2,1,97 m²,120 m²,"Sukmajaya, Depok","Rp 1,3 Miliar",Rumah,Bisa Nego,Siap Huni,Bebas Banjir
Turun Harga Murah Dibawah Harga Pasaran! Jual Cepat Rumah Di Komp Bumi Pusaka Cinere,3,3,1,170 m²,140 m²,"Cinere, Depok","Rp 1,85 Miliar",Rumah,Bisa Nego,,
"Rumah Bagus HGB Siap Huni Sawangan, Depok",2,1,1,72 m²,50 m²,"Sawangan, Depok",Rp 490 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Green Andara Residence 204 Meter Harga Bagus,4,3,2,204 m²,200 m²,"Cinere, Depok","Rp 4,75 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Tempat Ibadah
Rumah Nyaman Siap Huni Di Beji Depok Akses Dekat 2 Pintu Tol,3,3,1,75 m²,108 m²,"Beji, Depok","Rp 1,1 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Furnished Akses Dekat Tol Limo Depok,3,2,1,60 m²,55 m²,"Limo, Depok",Rp 735 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Fasilitas Kesehatan
Rumah Furnished Rootfop Cozy Akses Dekat Pintu Tol Desari,4,3,2,72 m²,130 m²,"Cinere, Depok",Rp 900 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished Siap Huni Dekat Gerbang Tol Depok,3,2,1,85 m²,120 m²,"Limo, Depok","Rp 1,15 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 2 Lantai Di Beji Selangkah Ke Tol Kukusan,3,3,1,70 m²,80 m²,"Beji, Depok","Rp 1,4 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Sekolah
Rumah 3 Lantai Siap Huni Dekat Pintu Tol Limo Cinere Depok,5,4,2,135 m²,260 m²,"Cinere, Depok","Rp 2,2 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Furnished 900 Meter Ke Pintu Tol Di Sawangan Siap Huni,3,2,1,60 m²,55 m²,"Sawangan, Depok",Rp 700 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Dengan Konsep Modern Harga Mudah di Sawangan Depok,3,3,,65 m²,78 m²,"Sawangan, Depok",Rp 1 Miliar,Rumah,Dekat Fasilitas Kesehatan,,
Rumah 2 Lantai Lokasi Strategis,4,4,2,77 m²,101 m²,"Sawangan, Depok",Rp 1 Miliar,Rumah,Bisa Nego,Siap Huni,Bebas Banjir
Rumah Furnished Siap Huni Di Pancoran Mas Depok,3,3,2,66 m²,100 m²,"Pancoran Mas, Depok","Rp 1,08 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Siap Huni Di Pancoran Mas 900 Meter Ke Pintu Tol Desari,3,3,1,72 m²,100 m²,"Pancoran Mas, Depok","Rp 1,15 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Modern Lux Di Pancoran Mas Siap Huni Dekat Tol Desari,4,3,1,85 m²,120 m²,"Pancoran Mas, Depok","Rp 1,38 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 3 Lantai Siap Huni Di Pancoran Mas Akses 900 Meter Ke Tol,4,4,1,85 m²,150 m²,"Pancoran Mas, Depok","Rp 1,35 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 2 Lantai Nyaman Di Perumahan Maharaja Pancoran Mas Depok,3,2,1,60 m²,75 m²,"Pancoran Mas, Depok","Rp 1,05 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lantai Modern Terlaris Dekat Tol Di Depok,3,3,1,60 m²,100 m²,"Bojong Sari, Depok",Rp 816 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni Tanah Luas Di Pancoran Mas Akses Dekat Pintu Tol,2,1,1,80 m²,60 m²,"Pancoran Mas, Depok",Rp 679 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Strategis Siap Huni Dekat Stasiun Pondok Cina Bisa KPR J23664,3,2,,148 m²,45 m²,"Sukmajaya, Depok","Rp 1,16 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas SHM 15 menit ke Gerbang Tol Limo Utama Siap KPR J-34632,4,4,,208 m²,200 m²,"Limo, Depok","Rp 1,66 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
"Rumah SHM Full Furnished di Rangkapan Jaya Baru, Pancoran Mas, Depok",4,2,1,95 m²,215 m²,"Sawangan, Depok","Rp 1,7 Miliar",Rumah,Siap Huni,Bebas Banjir,
"Rumah SHM Full Furnished di Rangkapan Jaya Baru, Pancoran Mas, Depok",4,2,1,95 m²,215 m²,"Pancoran Mas, Depok","Rp 1,7 Miliar",Rumah,Siap Huni,Bebas Banjir,
"Rumah SHM Full Furnished di Rangkapan Jaya Baru, Pancoran Mas, Depok",4,2,1,95 m²,215 m²,"Cinere, Depok","Rp 1,7 Miliar",Rumah,Siap Huni,Bebas Banjir,
Rumah 15 Menit ke RS Citra Medika Depok Luas Dibantu KPR J32031,2,1,,105 m²,100 m²,"Citayam, Depok",Rp 910 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis dekat 15 Mnt ke Stasiun Citayam Dibantu KPR J-28616,2,2,,86 m²,70 m²,"Citayam, Depok","Rp 1,08 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 3 KT Siap KPR 15 Menit ke RS Permata Depok Hadap Timur J32222,3,2,,90 m²,90 m²,"Pancoran Mas, Depok","Rp 1,29 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah Lt 92 Cantik di Depok 15 Menit ke Tol dan RS Baru Renov J-31270,3,2,,92 m²,92 m²,"Pancoran Mas, Depok","Rp 1,13 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah Straetgis 10 Menit ke Stasiun Depok Baru 2 Lt Hadap Utara J20230,3,2,,72 m²,67 m²,"Pancoran Mas, Depok",Rp 940 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah di Pinggir Jalan Raya Akses 5 menit ke Tol Cimanggis,3,2,2,70 m²,60 m²,"Cimanggis, Depok",Rp 880 Juta,Rumah,DP 0%,Siap Huni,Dekat Akses Transportasi
Rumah Ready Stock ada Mezzanine lokasi dekat Tol dan Stasiun,2,1,1,60 m²,45 m²,"Sawangan, Depok",Rp 499 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Fasilitas Kesehatan
Rumah aesthetic jalan besar fasilitas lengkap 10 menit stasiun,2,1,1,72 m²,36 m²,"Citayam, Depok",Rp 471 Juta,Rumah,Dekat Akses Transportasi,Dekat Fasilitas Kesehatan,
Rumah Mewah 2 Lantai Murah Dekat Stasiun Depok 5 Menit Ke Gdc,3,3,1,77 m²,75 m²,"Cilodong, Depok","Rp 1,1 Miliar",Rumah,DP 0%,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni Dekat Lebak Bulus &tol Pamulang Fasilitas Lengkap,2,1,1,55 m²,42 m²,"Sawangan, Depok",Rp 600 Juta,Rumah,DP 0%,Siap Huni,Dekat Akses Transportasi
Rumah dekat Jaksel Harga Murah lokasi dekat 3 Tol (Limo Kukusan Desari) ,3,2,2,61 m²,55 m²,"Limo, Depok",Rp 890 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Dekat Tol Dan Fasilitas Lengkap,3,3,2,84 m²,110 m²,"Limo, Depok","Rp 1,6 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,
Rumah 1 Lantai 3 Kamar Tidur 2 Kamar Mandi Tanah Dan Bangunan Luas - Luas Di Sawangan Bojongsari Depok,3,2,2,95 m²,60 m²,"Sawangan, Depok",Rp 580 Juta,Rumah,Bisa Nego,Siap Huni,Bebas Banjir
Rumah Baru Murah Di Citayam,2,1,,40 m²,40 m²,"Citayam, Depok",Rp 175 Juta,Rumah,Dekat Akses Transportasi,Dekat Fasilitas Kesehatan,
Rumah Baru Hook Full Furnished Dekat Pintu Tol Sawangan Depok,4,3,2,143 m²,140 m²,"Pancoran Mas, Depok","Rp 3,2 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished Siap Huni Di Pancoran Mas Akses 900 Meter Ke Tol,3,2,1,75 m²,80 m²,"Pancoran Mas, Depok",Rp 898 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Dekat ke Cinere Bellevue Mall J-31776,3,1,,103 m²,65 m²,"Cinere, Depok",Rp 780 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Carport Mobil Di Grand Depok City Cilodong,3,3,2,90 m²,100 m²,"Cilodong, Depok","Rp 1,1 Miliar",Rumah,DP 0%,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Selangkah Ke Jalan Juanda Dan Tol Margonda Di Sukmajaya,3,3,2,70 m²,90 m²,"Pancoran Mas, Depok","Rp 1,04 Miliar",Rumah,DP 0%,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rmah Nempel Sekolah Al Azhar Gdc Di Cilodong,3,3,2,70 m²,80 m²,"Cilodong, Depok",Rp 990 Juta,Rumah,DP 0%,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lantai Di Grand Depok City Cilodong,3,3,1,70 m²,90 m²,"Cilodong, Depok",Rp 900 Juta,Rumah,DP 0%,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Mewah Luxury Tanah Besar Di Cilodong,3,2,2,91 m²,90 m²,"Cilodong, Depok","Rp 1,1 Miliar",Rumah,DP 0%,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Dibawah Njop Rumah Kokoh Dalam Komplek Cinere Depok,4,3,3,960 m²,400 m²,"Cinere, Depok",Rp 7 Miliar,Rumah,Siap Huni,Bebas Banjir,
Rumah Terawat Siap Huni Di Villa Cinere Mas,4,3,3,240 m²,280 m²,"Cinere, Depok","Rp 4,1 Miliar",Rumah,Siap Huni,,
Rumah 6 Menit ke RS Citra Medika Depok Hadap Timur Siap KPR J-37615,3,2,,78 m²,84 m²,"Cilodong, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Idaman 15 Menit ke Gerbang Toll Limo 2 Sudah Renov J27167,2,1,,60 m²,40 m²,"Cinere, Depok",Rp 590 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Utara 14 Menit ke DTC (Depok Town Center) Dibantu KPR J-38221,2,1,,84 m²,36 m²,"Cinere, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Murah di Perumnas Depok 1,4,3,1,130 m²,260 m²,"Depok I, Depok",Rp 790 Juta,Rumah,Dekat Sekolah,,
Rumah Minimalis 10 Menit ke Terminal Sawangan 1 Lantai Bisa KPR J38125,2,1,,72 m²,72 m²,"Sawangan, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Strategis 7 menit ke Terminal Sawangan LT 108 Siap Huni J22702,2,1,,108 m²,70 m²,"Sawangan, Depok",Rp 510 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Selatan 15 menit ke Cibinong City Mall Siap Huni Dibantu KPR J-37765,2,1,,90 m²,36 m²,"Cilodong, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan LB 175 SHM 18 Menit ke Gerbang Tol Margonda 3 J-38238,3,3,,116 m²,175 m²,"Cilodong, Depok","Rp 1,94 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 6 Menit ke RS Citra Medika Depok Bebas Banjir J37767,3,4,,116 m²,100 m²,"Cilodong, Depok","Rp 1,55 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 2 Lt SHM 10 menit ke Stasiun Depok Dibantu KPR J-37606,4,3,,160 m²,160 m²,"Cilodong, Depok","Rp 2,77 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Siap Huni SHM 15 Menit ke RS Sentra Medika Cisalak Bisa KPR J36422,2,1,,70 m²,36 m²,"Cilodong, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 15 menit ke RSU Hermina Depok Siap KPR J-37732,2,3,,72 m²,82 m²,"Cilodong, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah SHM LB 120 Hadap Utara 19 Menit ke Stasiun Depok Siap KPR J-37763,3,3,,99 m²,120 m²,"Cilodong, Depok",Rp 890 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Idaman Siap Huni 14 Menit ke The Park Sawangan Dibantu KPR J35679,3,2,,112 m²,100 m²,"Sawangan, Depok","Rp 1,24 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Murah 15 Menit ke Terminal Sawangan 1 Lantai Hadap Timur J37274,2,1,,72 m²,36 m²,"Sawangan, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lantai SHM 6 Menit ke Terminal Sawangan Hadap Timur J37086,3,2,,73 m²,100 m²,"Sawangan, Depok","Rp 1,11 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Utara 15 menit ke Gerbang Tol Kukusan Bisa KPR J-17179,2,1,,82 m²,50 m²,"Limo, Depok",Rp 940 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 13 Menit ke Pintu Tol Sawangan 4 Bebas Banjir J37512,2,1,,83 m²,70 m²,"Sawangan, Depok",Rp 750 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah SHM Sudah Renov 7 Menit ke Gerbang Tol Brigif 1 Siap Huni J25000,4,4,,82 m²,135 m²,"Cinere, Depok","Rp 1,68 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lantai Terawat Akses Dekat RS Puri Cinere Dibantu KPR J36747,2,1,,72 m²,72 m²,"Cinere, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 3 Lt SHM 5 Menit ke The Park Sawangan Dibantu KPR J-38329,4,2,,72 m²,220 m²,"Sawangan, Depok","Rp 2,66 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas Strategis 10 menit ke Gerbang Tol Brigif 4 KT Siap Huni J34632,4,4,,208 m²,200 m²,"Cinere, Depok","Rp 1,66 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lt Terawat 10 menit ke Terminal Sawangan Dibantu KPR J38423,3,2,,83 m²,130 m²,"Sawangan, Depok","Rp 1,11 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 12 Menit ke Living Plaza Cinere Dibantu KPR J-38127,3,2,,75 m²,84 m²,"Cinere, Depok","Rp 1,77 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 105 SHM Siap KPR 10 menit ke The Park Sawangan J-37357,2,1,,105 m²,75 m²,"Sawangan, Depok","Rp 1,17 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LB 135 Hadap Utara 10 menit ke Gerbang Tol Brigif J-37927,3,4,,100 m²,135 m²,"Cinere, Depok","Rp 2,1 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 120 Hadap Selatan 15 menit ke RS Permata Depok Siap KPR J-38243,2,1,,120 m²,80 m²,"Pancoran Mas, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 116 SHM 9 Menit ke Alia Hospital Depok Dibantu KPR J-37767,3,4,,116 m²,100 m²,"Sukmajaya, Depok","Rp 1,55 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 9 Menit ke The Park Sawangan SHM Siap Huni Dibantu KPR J-36616,3,2,,78 m²,60 m²,"Sawangan, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Timur 10 menit ke The Park Sawangan Siap KPR J-37039,2,1,,78 m²,30 m²,"Sawangan, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LB 140 SHM 12 Menit ke Primaya Hospital Depok J-37630,4,3,,80 m²,140 m²,"Pancoran Mas, Depok","Rp 1,17 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lantai Luas 8 Menit ke The Park Mall Sawangan Dibantu KPR J36046,2,2,,144 m²,81 m²,"Sawangan, Depok","Rp 1,88 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM 2 Lt Siap Huni 15 menit ke Stasiun Depok Dibantu KPR J-37656,3,4,,66 m²,45 m²,"Citayam, Depok","Rp 1,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Timur LT 121 SHM 3 Menit ke Gerbang Tol Sawangan 4 J-36927,2,1,,121 m²,55 m²,"Citayam, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 9 Menit ke Gerbang Tol Brigif 4 SHM Siap Huni J-37807,3,3,,105 m²,160 m²,"Beji, Depok","Rp 2,6 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas 9 Menit ke Gerbang Tol Kukusan 3 SHM Dibantu KPR J-37613,3,3,,110 m²,220 m²,"Limo, Depok","Rp 2,1 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni dalam Town House Eksklusif – Hanya 2 Km ke Tol Krukut,3,2,1,126 m²,116 m²,"Cinere, Depok","Rp 1,85 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Bagus Dengan Bangunan Yang Luas Dekat Rumah Walikota Depok,3,3,1,84 m²,120 m²,"Cilodong, Depok","Rp 1,2 Miliar",Rumah,Bisa Nego,Siap Huni,Bebas Banjir
Rumah Keren Akses 2 Mobil Dekat Villa Cinere Dan Stasiun Depok,3,2,2,61 m²,55 m²,"Cinere, Depok",Rp 891 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,
Rumah Bagus Dan Murah Di Cilodong Dekat Stasiun dan Alun Alun,2,1,1,70 m²,50 m²,"Cilodong, Depok",Rp 675 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 2 Lantai Termurah Di Limo Akses Dekat Pintu Tol,3,2,1,30 m²,45 m²,"Limo, Depok",Rp 600 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished Murah Di Pancoran Mas Akses 900 Meter Ke Tol,3,2,1,60 m²,55 m²,"Pancoran Mas, Depok",Rp 700 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Fasilitas Kesehatan
Rumah Siap Huni Di Beji Dekat Pintu Tol Kukusan Depok,3,3,1,70 m²,85 m²,"Beji, Depok","Rp 1,39 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lantai Murah Fasilitas Lengkap Dekat Pintu Tol Depok,3,3,1,40 m²,50 m²,"Cinere, Depok",Rp 600 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished 900 Meter Ke Gerbang Tol Sawangan Depok,3,2,1,75 m²,80 m²,"Sawangan, Depok",Rp 897 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished Rooftop Cozy Di Pancoran Mas Dekat Tol,4,3,2,72 m²,130 m²,"Pancoran Mas, Depok",Rp 900 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 4 Kamar Tidur Di Mampang Pancoran Mas Depok,5,4,1,86 m²,158 m²,"Pancoran Mas, Depok","Rp 1,65 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
"Rumah 1,5 Lantai Siap Huni Di Sawangan Dekat Pintu Tol Desari",2,1,1,65 m²,50 m²,"Sawangan, Depok",Rp 500 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Modern.minimalis.dan Asri,3,3,1,110 m²,180 m²,"Tanah Baru, Depok","Rp 1,7 Miliar",Rumah,Dekat Sekolah,,
Rumah Hadap Selatan 9 Menit ke Gerbang Tol Kukusan 3 Siap KPR J-37033,2,1,,72 m²,45 m²,"Beji, Depok",Rp 680 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas 3 Kamar 5 Menit ke Stasiun Depok LT 177 Hadap Timur J36237,3,2,,177 m²,160 m²,"Sukmajaya, Depok","Rp 1,77 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Miniimalis 5 Menit ke RSUD Depok Timur 1 Lantai Dibantu KPR J35614,2,1,,84 m²,45 m²,"Cilodong, Depok",Rp 810 Juta,Rumah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Fasilitas Kesehatan
Rumah Hadap Timur 5 menit ke RSUD Depok Timur Dibantu KPR J-33550,2,1,,78 m²,36 m²,"Tapos, Depok",Rp 680 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Utara SHM 10 menit ke Stasiun Cibinong Dibantu KPR J-37764,2,1,,72 m²,65 m²,"Cilodong, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
