Title,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Rumah Strategis 9 Menit ke The Park Sawangan SHM Dibantu KPR J-36721,2,2,,90 m²,60 m²,"Sawangan, Depok",Rp 780 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis Asri 15 Menit ke Terminal Sawangan LT 99 Hadap Utara J34047,2,1,,99 m²,65 m²,"Sawangan, Depok",Rp 640 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LB 115 SHM 14 Menit ke Gerbang Tol Cimanggis 1 J-37314,3,2,,72 m²,115 m²,"Cilodong, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LB 135 SHM 10 menit ke Gerbang Tol Brigif Siap KPR J-37927,3,4,,100 m²,135 m²,"Limo, Depok","Rp 2,1 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Strategis 15 Menit ke Terminal Sawangan Hadap Selatan J38243,2,1,,120 m²,80 m²,"Sawangan, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Selatan 11 Menit ke Mall Pesona Square Dibantu KPR J-34160,3,2,,94 m²,58 m²,"Sukmajaya, Depok","Rp 1,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 12 Menit ke Primaya Hospital Depok LB 140 SHM J-37630,4,3,,80 m²,140 m²,"Sukmajaya, Depok","Rp 1,17 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hook Idaman 9 menit ke RSU Brawijaya Sawangan Siap Huni J36046,2,2,,144 m²,81 m²,"Bojong Sari, Depok","Rp 1,88 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 16 Menit ke Gerbang Tol Margonda 3 Hadap Utara Siap Huni J-37651,2,1,,90 m²,45 m²,"Sukmajaya, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Luas 15 Menit ke Depok Town Center Dibantu KPR J-37613,3,3,,110 m²,220 m²,"Beji, Depok","Rp 2,1 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 3 Menit ke Gerbang Tol Brigif 5 Kamar Siap Huni J35596,5,3,,90 m²,120 m²,"Limo, Depok","Rp 1,57 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 15 menit ke Stasiun Cibinong Dibantu KPR J-37656,3,4,,66 m²,45 m²,"Cilodong, Depok","Rp 1,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 12 Menit ke The Park Sawangan 2 Lt Hadap Selatan J34921,3,2,,72 m²,80 m²,"Sawangan, Depok","Rp 1,04 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lantai Selangkah ke RS Citra Medika Depok Dibantu KPR J37534,3,2,,121 m²,80 m²,"Cilodong, Depok","Rp 1,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
