userName;score;content
Pengguna Google;1;ini aplikasi kenapa dah,orang mau cari jemputan aja susah,saya nunggu udh lebih dari 1 jam
Pengguna Google;5;Endog iwak
Pengguna Google;5;good
Pengguna Google;5;nyaman dan ramah
Pengguna Google;5;ikaan hiu melayang layang, kamu bikin aku makin sayang🤭 kiw kiw cukurukuk kukgeruuu😂😂😂
Pengguna Google;1;iklann aja di mana mana cape anj lu Mulu iklan
Pengguna Google;1;saya pesan grab exprest oleh driver dibatalkan saldo ovo saya sudah terpotong & tidak ada pengembalian dana jadi males pake non tunai
Pengguna Google;1;makin lama makin gak jelas sistem mu, satu driver terima bnyak pesanan padahal harga makanan dll sdh di up driver cuma terima sebagian kecil akhirnya sering terlambat kirim orderan makanan ujung² nya customer yg di rugikan
Pengguna Google;4;"ada 1 driver ojol yang memakai 2 aplikasi grab dan Maxim . waktu mau pergi ke sekolah dia datang ke lokasi dengan jaket Maxim lalu pas di pertengahan jalan dia bilang ""jemput yang 1 lagi ya dek""saya tidak mengerti maksudnya ternyata dia menjemput satu customer lagi dari apk Maxim dan kami satu tujuan, dia minta agar kami bonceng tiga. padahal adek saya sudah terlambat sekolah tolong kasih peringatan kepada driver seperti itu"
Pengguna Google;1;astagfirullah, kenapa gabisa connect ama ovo payment ? kok bego banget sih ? sesusah itukah ? nyebut banget gw makanya Nadim korupsi buat benerin elu astagfirullah
Pengguna Google;5;baik
Pengguna Google;1;mohon maaf tidak mau pesan masalah grab banyak bertolak penumpang saya kecewa nunggu korban 3 jam berapa kali tolak gara grab suka paksa harga mahal tidak adil rakyat supir tidak pikir hati menghormati penumpang anda tidak profesional.
Pengguna Google;5;sopan
Pengguna Google;5;sangat membantu
Pengguna Google;1;telat 2 jam woi
Pengguna Google;5;ok
Pengguna Google;5;Tepat waktu
Pengguna Google;1;pembayaran non tunai ga ada yg bisa. bisa bantu?
Pengguna Google;1;ra iso dinggo are.. dibekukan? emang gw ngapain cok???
Pengguna Google;1;gk jelas grab, limit paylater makin berkurang, padahal pembayaran GK pernah telat.
Pengguna Google;5;top
Pengguna Google;5;bpk supirnya ramah ..enak di ajak ngobrolnya
Pengguna Google;5;suka banyak promonya, ongkirnya juga murah, pelayanan ramah, pokok best
Pengguna Google;4;selama ini gunakan jasa grab, pengemudinya baik, ramah2.
Pengguna Google;5;amanah
Pengguna Google;5;aplikasinya bagus dan memudahkan
Pengguna Google;5;ok
Pengguna Google;5;oke
Pengguna Google;5;sangat terbantu
Pengguna Google;1;Terlalu sering memaksa konsumen harus update aplikasi,setiap mau di gunakan update terus,payah!
Pengguna Google;5;terimakasih saya tepat waktu mengejar kereta
Pengguna Google;5;sopir nyaman dan ramah 👍
Pengguna Google;1;Kenapa limit paylater saya hilang,padahal pembayaran nya lancar...hmmmm kenapa dgn aplikasi ini,padahal sdh sangat nyaman pake aplikasi grab..untuk sementara saya kasih bintang 1.
Pengguna Google;5;bagus
Pengguna Google;1;Aplikasi jelek, cs tidak bisa dhubungi, padahal sudah langganan bayar pake grab unlimited, harusnya pelayanan nya bgs seperti aplikasi lain yg sejenis punya cs prioritas. pernah juga bayar pake kartu, trus pesanannya dbatalin uangnya gk balik.. harus nunggu 7x24 jam padahal aplikasi lain klo batal uangnya otomatis balik.. ini pesan makanan jg, ad yg salah dalam masukin promo mau dbatalin gak bisa. mengecewakan.
Pengguna Google;5;sangat nyaman
Pengguna Google;5;nyaman dan ramah
Pengguna Google;5;keren grab mudah dan cepat
Pengguna Google;5;membantu kesulitan
Pengguna Google;5;sopirnya ramah terima kasih
Pengguna Google;5;membantu saya dalam perjalanan jauh,pokoknya sangat membantu sekali
Pengguna Google;5;baghus
Pengguna Google;5;sangat membantu
Pengguna Google;5;aplikasi yg sangat dpt dipercaya
Pengguna Google;5;puas sekali
Pengguna Google;5;nyaman dalam perjalanan
Pengguna Google;5;sangat cepett dan amann
Pengguna Google;5;baik
Pengguna Google;5;semoga menjadi driver yg amanah😊
