MBl,BEl,VEp,REs,OGp,RMl,BLs,PFv,PFs,CPt,Family
61.0,3.446910077,0.452176684,0.412478911,0.371265729,0.499758978,0.399107803,0.209347626,0.182665071,2.756790224,Cyprinidae
13.4,2.879540602,0.575777121,0.26662963,0.360308198,0.253437037,0.674996625,0.343493283,0.21459984040000002,3.442655738,Cichlidae
15.4,2.248830964,0.526075829,0.51282092,0.393415482,0.598044823,0.596625592,0.450240126,0.332971317,1.786105258,Cichlidae
12.2,2.143874428,0.556801309,0.418181818,0.477258265,0.562430303,0.624981061,0.393946396,0.339300353,1.226804124,Cichlidae
13.0,4.575434852,0.649933138,0.288891454,0.472140817,0.512767243,0.716583502,0.558642165,0.193755256,1.772715765,Gobiidae
11.0,4.270149993,0.626436563,0.172619466,0.416512607,0.619424086,0.677419047,0.705750062,0.188573558,1.175156544,Gobiidae
18.0,4.443006873,0.673699385,0.3858875,0.37192413,0.4529375,0.725334107,0.547364317,0.214618488,2.073493837,Gobiidae
7.0,6.26520878,0.687174098,0.428558976,0.619804088,0.456990106,0.927455974,0.587048789,0.219744723,1.516027514,Gobiidae
16.5,4.719372036,0.71907903,0.348982422,0.516493266,0.390433139,0.781807725,0.650669641,0.203615076,2.246080406,Gobiidae
11.0,7.548666872,0.584100383,0.200088039,0.407296534,0.5040567944000001,0.6991299,0.522130207,0.067995493,1.661134904,Heptapteridae
6.3,11.30526842,0.473684211,0.38176998,0.0,0.0,0.800068421,0.0,0.092347722,4.143853613399999,Loricariidae
7.0,17.03136719,0.484625,0.433884492,0.0,0.0,0.828273438,0.0,0.078853586,2.0621944862,Loricariidae
7.0,17.17460317,0.647047619,0.446428571,0.0,0.0,0.888888889,0.0,0.075808226,4.4375,Loricariidae
5.55,13.93615597,0.740954698,0.269632277,0.0,0.0,0.916903848,0.3990039,0.087489431,2.680793269,Loricariidae
20.0,3.655639218,0.59058452,0.453841417,0.59058452,0.809114151,0.613207763,0.207717307,0.16993083299999998,3.30980285,Characidae
14.0,3.597270369,0.509883579,0.518419326,0.481697541,1.079619021,0.473245088,0.163374938,0.142516473,3.442845499,Characidae
6.05,3.574136318,0.539919849,0.517730496,0.501897324,1.270035461,0.536117596,0.178705865,0.173846948,3.845238095,Characidae
13.5,3.413600884,0.646407984,0.486223266,0.624307604,1.042382421,0.575257427,0.19338537,0.144647124,3.764635385,Characidae
23.3,3.641088049,0.599980973,0.392471558,0.547076918,1.321887225,0.573509125,0.202942902,0.170555126,3.940021285,Acestrorhynchidae
16.5,4.779245455,0.531390909,0.450140633,0.531390909,1.198472658,0.555927273,0.180690909,0.093400061,4.478528182,Acestrorhynchidae
30.0,4.776882734,0.639142277,0.401410907,0.575369574,1.041610679,0.690914691,0.19067809,0.174625321,3.745040918,Acestrorhynchidae
45.0,5.868843224,0.682197042,0.458820602,0.644068882,1.553815804,0.72038922,0.17394533,0.133662459,3.679354055,Acestrorhynchidae
11.0,6.15980447,0.643040081,0.444174921,0.53566739,1.451435213,0.771772904,0.166577829,0.145080476,4.641080097,Acestrorhynchidae
40.8,5.111346232,0.561279459,0.458714782,0.503254776,1.562371618,0.508803055,0.206447617,0.080448178,4.515678314,Acestrorhynchidae
10.1,6.408764927,0.559917711,0.533989079,0.509978772,1.552650717,0.66494275,0.155045939,0.131899781,4.295994455,Acestrorhynchidae
27.0,4.289617918,0.616108251,0.44198177,0.560704125,1.171920638,0.548239631,0.193728844,0.168093255,4.340981595,Acestrorhynchidae
8.0,6.606775281,0.620314607,0.515625,0.620314607,1.762578125,0.719101124,0.219269663,0.1880963016,3.777383178,Acestrorhynchidae
37.0,5.163057152,0.541481721,0.428250256,0.507401785,0.989978058,0.675996305,0.146896408,0.149898061,4.271326651,Acestrorhynchidae
6.3,6.056471209,0.677164761,0.529016869,0.620429844,1.491270349,0.765996722,0.215223493,0.125331227,3.637711647,Acestrorhynchidae
7.0,6.599681021,0.552250979,0.556036124,0.467685225,1.865268484,0.666267943,0.208949543,0.18073372099999999,4.188435544,Acestrorhynchidae
35.2,4.178191439,0.556195819,0.454465121,0.506526585,1.225987511,0.517677121,0.202195925,0.182729549,3.95635534,Acestrorhynchidae
16.0,2.790789916,0.461191984,0.509808853,0.390272786,0.351239013,0.390660633,0.23725404,0.190268479,2.529955512,Cyprinidae
8.4,2.557991824,0.449254376,0.454841222,0.411247865,0.277990531,0.386769384,0.260641518,0.173813187,2.202616084,Cyprinidae
9.0,2.436619634,0.501333694,0.438892065,0.442980706,0.401196646,0.394857692,0.271430972,0.199784801,2.156546192,Cyprinidae
15.016,2.70403467,0.475104523,0.405940594,0.437943087,0.289168317,0.417265712,0.309850776,0.178339142,2.2667375,Cyprinidae
6.0,3.548944381,0.4029393,0.375581068,0.352457716,0.379241834,0.493438012,0.256091194,0.155604438,3.111668478,Cyprinidae
5.2,2.334110939,0.58001728,0.419712109,0.511611572,0.250250636,0.410910698,0.327352138,0.182400094,2.185346768,Cyprinidae
19.8,3.209897849,0.451612903,0.535353535,0.483870968,0.407181818,0.532258065,0.231182796,0.170842538,2.457864407,Cyprinidae
5.6,2.813113481,0.484615692,0.496580275,0.400668555,0.303225485,0.457428597,0.240095343,0.152793355,2.552130937,Cyprinidae
17.316,2.643480397,0.480380336,0.471006659,0.426781255,0.287397739,0.428169803,0.362530928,0.156641455,2.505352842,Cyprinidae
16.5,1.826633832,0.448990143,0.431372549,0.435384793,0.266696078,0.346936415,0.292535425,0.193369507,2.210461446,Cyprinidae
8.0,3.119896029,0.452857453,0.417496235,0.450293351,0.267332182,0.471055075,0.20288906,0.159564756,2.475108278,Cyprinidae
8.0,2.193321672,0.48331459,0.412666066,0.445708659,0.339733573,0.353303279,0.322082787,0.187636678,2.762354594,Cyprinidae
28.0,2.327257833,0.499535186,0.388212831,0.476862832,0.270241895,0.348402881,0.274247454,0.159221184,2.228769841,Cyprinidae
10.04,2.913050631,0.465449098,0.472928111,0.417558666,0.131098734,0.31626865,0.264828499,0.168563526,2.142988081,Cyprinidae
11.315999999999999,3.144339338,0.438593413,0.37037037,0.298243521,0.294903704,0.473680886,0.238594817,0.16867732,3.0,Cyprinidae
11.9,2.966853713,0.430719631,0.483877378,0.358876998,0.31803234,0.410051439,0.249351024,0.1835857,2.360908743,Cyprinidae
7.22,2.789689548,0.507612617,0.459574668,0.389588525,0.165804348,0.387013629,0.325670205,0.15106846,2.246593718,Cyprinidae
9.5,2.952991861,0.432908285,0.372243364,0.347278811,0.314439017,0.443571185,0.248990109,0.147196821,2.477228731,Cyprinidae
16.716,2.527169928,0.490992605,0.414078989,0.441260514,0.244472396,0.378906732,0.257149781,0.152380793,2.574168425,Cyprinidae
8.0,2.973469382,0.443563368,0.395898303,0.393345001,0.402533784,0.465281902,0.250076391,0.162410672,2.91243561,Cyprinidae
9.2,2.312155406,0.44103886,0.400000711,0.34262337,0.24133882,0.367250812,0.243506789,0.167998349,2.4691875,Cyprinidae
23.64,2.903890937,0.447715664,0.471428571,0.414714927,0.260138757,0.456100577,0.261350417,0.200649912,2.982692385,Cyprinidae
16.0,3.083979548,0.528958573,0.48717339,0.456764967,0.273848822,0.449626737,0.27259863,0.151371844,2.401559594,Cyprinidae
8.0,5.9239495118,0.574373135,0.3863238558,0.18622880079999998,0.4507282066000001,0.6895076412,0.26256011900000004,0.211096619,3.55,Soleidae
14.0,6.207709119400001,0.5700063474,0.3343237846,0.2490720602,0.322091634,0.6598816636,0.1793288298,0.1962259724,1.630511966,Soleidae
37.0,5.0109070338,0.5217463135999999,0.3471674762,0.2244365348,0.3058958386,0.6414099422,0.3284888578,0.19609042459999998,1.261184417,Achiridae
22.5,8.3809989572,0.5440894820000001,0.3625628714,0.210368056,0.2296285568,0.6173063978,0.19901356200000003,0.1575289898,1.80002272,Achiridae
25.0,3.492962902,0.434414978,0.383017098,0.359907758,0.392035207,0.507366533,0.206647267,0.189963951,2.959343127,Cyprinidae
25.0,3.578175354,0.553902596,0.469234191,0.461755347,0.406155015,0.488770623,0.299459876,0.169568676,1.778714295,Cyprinidae
4.0,3.4764727,0.512414732,0.500244978,0.517948221,0.494986118,0.523401927,0.187340791,0.189806915,2.177897916,Achiridae
200.0,6.901288061,0.355144231,0.201251968,0.0,0.3813138842,0.49708734,0.0,0.154492189,4.643246358,Acipenseridae
143.0,6.814149446,0.241558214,0.325657895,0.0,0.30801973299999996,0.387653302,0.0,0.142408959,4.600579053,Acipenseridae
250.0,7.339740952,0.48018757,0.23597508,0.0,0.3262220406,0.564703456,0.0,0.122672553,3.149917306,Acipenseridae
274.0,6.717066703,0.429329131,0.288916469,0.0,0.260746925,0.510963353,0.0,0.157251327,4.662817348,Acipenseridae
236.0,5.623484547,0.281538806,0.373503483,0.0,0.5751232882,0.456523899,0.0,0.161473163,4.036914648,Acipenseridae
270.0,7.455123543,0.406051708,0.152938685,0.0,0.16637696,0.515140634,0.0,0.125214842,4.445265186,Acipenseridae
